Name,Department,Gender,Salary,Age
Ali,IT,Male,60000,25
Sara,HR,Female,50000,28
Ahmed,Finance,Male,70000,35
Ayesha,IT,Female,65000,30
Bilal,HR,Male,48000,26
Zara,Finance,Female,72000,32
Usman,IT,Male,62000,27
Hina,HR,Female,51000,29
Hamza,Finance,Male,68000,34
Noor,IT,Female,64000,31
Saad,HR,Male,47000,24
Iqra,Finance,Female,71000,33
Fahad,IT,Male,63000,28
Kiran,HR,Female,52000,27
Omar,Finance,Male,69000,36
Sana,IT,Female,66000,29
Danish,HR,Male,46000,25
Mehwish,Finance,Female,73000,37
Tariq,IT,Male,61000,26
Nadia,HR,Female,53000,30
Ali2,Finance,Male,75000,38
Sara2,IT,Female,67000,32
Ahmed2,HR,Male,49000,28
Ayesha2,Finance,Female,74000,35
Bilal2,IT,Male,60000,27
Zara2,HR,Female,54000,29
Usman2,Finance,Male,72000,34
Hina2,IT,Female,65000,31
Hamza2,HR,Male,48000,26
Noor2,Finance,Female,76000,39
Saad2,IT,Male,62000,28
Iqra2,HR,Female,55000,30
Fahad2,Finance,Male,71000,33
Kiran2,IT,Female,64000,29
Omar2,HR,Male,47000,25
Sana2,Finance,Female,77000,40
Danish2,IT,Male,63000,27
Mehwish2,HR,Female,56000,31
Tariq2,Finance,Male,69000,36
Nadia2,IT,Female,66000,30
Ali3,HR,Male,50000,29
Sara3,Finance,Female,78000,41
Ahmed3,IT,Male,61000,26
Ayesha3,HR,Female,52000,28
Bilal3,Finance,Male,73000,35
Zara3,IT,Female,65000,32
Usman3,HR,Male,48000,27
Hina3,Finance,Female,72000,34
Hamza3,IT,Male,64000,29
Noor3,HR,Female,53000,30
Saad3,Finance,Male,70000,33
Iqra3,IT,Female,66000,31
Fahad3,HR,Male,47000,25
Kiran3,Finance,Female,74000,37
Omar3,IT,Male,62000,28
Sana3,HR,Female,54000,29
Danish3,Finance,Male,71000,34
Mehwish3,IT,Female,67000,32
Tariq3,HR,Male,49000,27
Nadia3,Finance,Female,76000,39
Ali4,IT,Male,60000,26
Sara4,HR,Female,55000,30
Ahmed4,Finance,Male,72000,35
Ayesha4,IT,Female,68000,33
Bilal4,HR,Male,46000,24
Zara4,Finance,Female,77000,41
Usman4,IT,Male,63000,29
Hina4,HR,Female,56000,31
Hamza4,Finance,Male,70000,36
Noor4,IT,Female,66000,30
Saad4,HR,Male,48000,28
Iqra4,Finance,Female,75000,38
Fahad4,IT,Male,64000,27
Kiran4,HR,Female,57000,32
Omar4,Finance,Male,71000,34
Sana4,IT,Female,69000,33
Danish4,HR,Male,47000,26
Mehwish4,Finance,Female,78000,42
Tariq4,IT,Male,62000,28
Nadia4,HR,Female,58000,35
Ali5,Finance,Male,73000,37
Sara5,IT,Female,67000,31
Ahmed5,HR,Male,50000,29
Ayesha5,Finance,Female,76000,40
Bilal5,IT,Male,61000,27
Zara5,HR,Female,59000,33
Usman5,Finance,Male,72000,36
Hina5,IT,Female,68000,32
Hamza5,HR,Male,48000,25
Noor5,Finance,Female,79000,43
