id,name,age,city,marks
1,Ali,20,Lahore,78
2,Ahmed,21,Karachi,85
3,Sara,19,Islamabad,90
4,Ayesha,22,Rawalpindi,
5,Usman,20,Faisalabad,67
6,Hina,,Lahore,92
7,Bilal,23,Karachi,74
8,Zainab,20,,81
9,Hassan,22,Rawalpindi,69
10,Maria,19,Faisalabad,95
11,Ali,20,Lahore,72
12,Ahmed,21,Karachi,
13,,19,Islamabad,91
14,Ayesha,22,Rawalpindi,77
15,Usman,20,Faisalabad,66
16,Hina,21,Lahore,89
17,Bilal,,Karachi,79
18,Zainab,20,Islamabad,83
19,Hassan,22,Rawalpindi,70
20,Maria,19,,96
21,Ali,20,Lahore,75
22,Ahmed,21,Karachi,84
23,Sara,19,Islamabad,
24,Ayesha,22,Rawalpindi,80
25,Usman,20,Faisalabad,68
26,Hina,21,Lahore,94
27,Bilal,23,Karachi,76
28,Zainab,20,Islamabad,82
29,Hassan,22,,71
30,Maria,19,Faisalabad,97
31,Ali,20,Lahore,79
32,Ahmed,,Karachi,86
33,Sara,19,Islamabad,92
34,Ayesha,22,Rawalpindi,78
35,Usman,20,Faisalabad,
36,Hina,21,Lahore,90
37,Bilal,23,Karachi,77
38,Zainab,20,Islamabad,84
39,Hassan,22,Rawalpindi,73
40,Maria,19,Faisalabad,98
41,Ali,20,Lahore,76
42,Ahmed,21,Karachi,87
43,Sara,19,Islamabad,94
44,Ayesha,22,,82
45,Usman,20,Faisalabad,65
46,Hina,21,Lahore,91
47,Bilal,23,Karachi,78
48,Zainab,20,Islamabad,
49,Hassan,22,Rawalpindi,72
50,Maria,19,Faisalabad,99
51,Ali,20,Lahore,74
52,Ahmed,21,Karachi,83
53,Sara,19,Islamabad,95
54,Ayesha,22,Rawalpindi,79
55,Usman,20,,67
56,Hina,21,Lahore,88
57,Bilal,23,Karachi,75
58,Zainab,20,Islamabad,81
59,Hassan,22,Rawalpindi,
60,Maria,19,Faisalabad,96
61,Ali,20,Lahore,77
62,Ahmed,21,Karachi,89
63,Sara,19,Islamabad,90
64,Ayesha,22,Rawalpindi,83
65,Usman,20,Faisalabad,68
66,Hina,,Lahore,92
67,Bilal,23,Karachi,76
68,Zainab,20,Islamabad,82
69,Hassan,22,Rawalpindi,71
70,Maria,19,Faisalabad,
71,Ali,20,Lahore,78
72,Ahmed,21,Karachi,85
73,Sara,19,Islamabad,91
74,Ayesha,22,Rawalpindi,80
75,Usman,20,Faisalabad,66
76,Hina,21,Lahore,93
77,Bilal,23,Karachi,
78,Zainab,20,Islamabad,84
79,Hassan,22,Rawalpindi,73
80,Maria,19,Faisalabad,98
81,Ali,20,Lahore,79
82,Ahmed,21,Karachi,86
83,Sara,19,Islamabad,92
84,Ayesha,22,Rawalpindi,81
85,Usman,20,Faisalabad,67
86,Hina,21,Lahore,94
87,Bilal,23,Karachi,77
88,Zainab,20,Islamabad,83
89,Hassan,22,,72
90,Maria,19,Faisalabad,99
91,Ali,20,Lahore,76
92,Ahmed,21,Karachi,87
93,Sara,19,Islamabad,95
94,Ayesha,,Rawalpindi,82
95,Usman,20,Faisalabad,65
96,Hina,21,Lahore,91
97,Bilal,23,Karachi,78
98,Zainab,20,Islamabad,85
99,Hassan,22,Rawalpindi,74
100,Maria,19,Faisalabad,100
